"","participant","domain","Obj1","Obj2","Obj3","Obj4","Obj5","subset"
"6562",206,6,"c","e","d","-","-","cde"
"6563",206,9,"d","c","-","-","-","cd"
"6564",206,8,"b","e","-","-","-","be"
"6565",206,10,"a","c","d","e","-","acde"
"6566",206,24,"e","c","d","a","b","abcde"
"6567",206,11,"a","e","-","-","-","ae"
"6568",206,27,"d","a","-","-","-","ad"
"6569",206,20,"b","e","-","-","-","be"
"6570",206,31,"e","d","b","c","-","bcde"
"6571",206,13,"c","e","d","b","a","abcde"
"6572",206,23,"e","c","-","-","-","ce"
"6573",206,7,"e","c","-","-","-","ce"
"6574",206,5,"e","d","-","-","-","de"
"6575",206,19,"c","d","-","-","-","cd"
"6576",206,1,"a","c","e","-","-","ace"
"6577",206,28,"e","d","-","-","-","de"
"6578",206,16,"e","d","a","-","-","ade"
"6579",206,17,"c","e","d","a","-","acde"
"6580",206,25,"c","d","-","-","-","cd"
"6581",206,21,"e","b","a","c","d","abcde"
"6582",206,2,"d","b","-","-","-","bd"
"6583",206,4,"a","e","b","c","d","abcde"
"6584",206,15,"c","d","a","-","-","acd"
"6585",206,3,"e","d","-","-","-","de"
"6586",206,18,"d","b","e","c","-","bcde"
"6587",206,30,"d","b","a","-","-","abd"
"6588",206,32,"a","d","b","-","-","abd"
"6589",206,26,"c","e","-","-","-","ce"
"6590",206,29,"d","e","-","-","-","de"
"6591",206,12,"e","c","-","-","-","ce"
"6592",206,22,"b","e","a","-","-","abe"
"6593",207,11,"e","c","-","-","-","ce"
"6594",207,6,"d","a","-","-","-","ad"
"6595",207,25,"b","a","-","-","-","ab"
"6596",207,28,"b","a","-","-","-","ab"
"6597",207,7,"d","b","e","a","c","abcde"
"6598",207,3,"e","a","b","c","-","abce"
"6599",207,15,"a","d","-","-","-","ad"
"6600",207,30,"a","d","-","-","-","ad"
"6601",207,17,"b","a","-","-","-","ab"
"6602",207,19,"a","d","e","-","-","ade"
"6603",207,29,"b","d","c","-","-","bcd"
"6604",207,10,"c","e","b","a","d","abcde"
"6605",207,16,"b","e","d","-","-","bde"
"6606",207,2,"d","c","b","-","-","bcd"
"6607",207,9,"d","b","c","-","-","bcd"
"6608",207,13,"c","e","d","-","-","cde"
"6609",207,22,"c","e","d","-","-","cde"
"6610",207,5,"e","b","-","-","-","be"
"6611",207,12,"c","b","-","-","-","bc"
"6612",207,23,"b","e","a","-","-","abe"
"6613",207,8,"d","c","b","a","e","abcde"
"6614",207,14,"e","c","-","-","-","ce"
"6615",207,4,"b","e","-","-","-","be"
"6616",207,24,"a","e","b","-","-","abe"
"6617",207,20,"a","e","b","c","d","abcde"
"6618",207,1,"e","c","-","-","-","ce"
"6619",207,26,"a","b","-","-","-","ab"
"6620",207,18,"a","d","e","-","-","ade"
"6621",207,32,"c","a","e","d","-","acde"
"6622",207,31,"b","d","c","-","-","bcd"
"6623",207,27,"d","e","b","-","-","bde"
"6624",207,21,"b","d","c","-","-","bcd"
"6625",208,6,"b","a","d","-","-","abd"
"6626",208,20,"d","a","-","-","-","ad"
"6627",208,4,"a","c","e","-","-","ace"
"6628",208,32,"c","b","a","-","-","abc"
"6629",208,27,"b","a","-","-","-","ab"
"6630",208,3,"e","b","-","-","-","be"
"6631",208,31,"e","b","c","-","-","bce"
"6632",208,29,"e","a","d","-","-","ade"
"6633",208,10,"d","b","-","-","-","bd"
"6634",208,24,"b","e","-","-","-","be"
"6635",208,8,"e","a","b","-","-","abe"
"6636",208,26,"d","b","e","c","a","abcde"
"6637",208,11,"c","e","d","-","-","cde"
"6638",208,17,"c","b","-","-","-","bc"
"6639",208,15,"d","b","c","e","-","bcde"
"6640",208,22,"e","d","-","-","-","de"
"6641",208,16,"c","b","-","-","-","bc"
"6642",208,18,"e","c","d","-","-","cde"
"6643",208,5,"e","b","-","-","-","be"
"6644",208,1,"a","c","b","-","-","abc"
"6645",208,14,"d","a","b","c","-","abcd"
"6646",208,19,"b","c","-","-","-","bc"
"6647",208,7,"c","d","-","-","-","cd"
"6648",208,21,"e","a","-","-","-","ae"
"6649",208,25,"e","d","a","-","-","ade"
"6650",208,30,"e","d","b","-","-","bde"
"6651",208,13,"d","a","c","e","-","acde"
"6652",208,9,"e","b","-","-","-","be"
"6653",208,2,"c","e","b","-","-","bce"
"6654",208,23,"b","d","c","-","-","bcd"
"6655",208,12,"a","c","d","e","-","acde"
"6656",208,28,"e","d","-","-","-","de"
"6657",209,2,"a","c","b","-","-","abc"
"6658",209,30,"b","c","-","-","-","bc"
"6659",209,17,"e","c","b","a","-","abce"
"6660",209,14,"e","b","c","-","-","bce"
"6661",209,5,"e","a","c","b","-","abce"
"6662",209,28,"d","a","e","-","-","ade"
"6663",209,23,"a","e","c","-","-","ace"
"6664",209,12,"b","a","d","-","-","abd"
"6665",209,20,"b","d","-","-","-","bd"
"6666",209,6,"e","c","-","-","-","ce"
"6667",209,27,"e","c","a","-","-","ace"
"6668",209,16,"b","c","a","-","-","abc"
"6669",209,22,"b","e","d","a","-","abde"
"6670",209,26,"a","d","c","-","-","acd"
"6671",209,11,"a","e","-","-","-","ae"
"6672",209,3,"b","e","-","-","-","be"
"6673",209,31,"e","a","c","-","-","ace"
"6674",209,13,"a","b","-","-","-","ab"
"6675",209,24,"a","d","-","-","-","ad"
"6676",209,7,"a","e","d","c","b","abcde"
"6677",209,21,"b","a","-","-","-","ab"
"6678",209,15,"a","d","-","-","-","ad"
"6679",209,8,"c","b","a","-","-","abc"
"6680",209,10,"e","d","-","-","-","de"
"6681",209,19,"a","b","d","-","-","abd"
"6682",209,32,"e","b","a","c","-","abce"
"6683",209,4,"e","b","-","-","-","be"
"6684",209,25,"e","c","-","-","-","ce"
"6685",209,18,"c","d","e","-","-","cde"
"6686",209,1,"c","b","e","-","-","bce"
"6687",209,29,"b","c","a","e","-","abce"
"6688",209,9,"a","b","-","-","-","ab"
"6689",210,4,"d","b","a","e","-","abde"
"6690",210,18,"b","c","e","-","-","bce"
"6691",210,10,"d","a","-","-","-","ad"
"6692",210,17,"b","c","a","-","-","abc"
"6693",210,13,"c","d","-","-","-","cd"
"6694",210,25,"e","c","b","-","-","bce"
"6695",210,8,"b","d","e","c","-","bcde"
"6696",210,32,"c","d","b","-","-","bcd"
"6697",210,20,"e","a","c","-","-","ace"
"6698",210,27,"d","a","b","c","-","abcd"
"6699",210,28,"e","c","d","-","-","cde"
"6700",210,7,"c","b","e","-","-","bce"
"6701",210,30,"c","e","-","-","-","ce"
"6702",210,23,"a","b","c","e","d","abcde"
"6703",210,19,"a","b","c","e","-","abce"
"6704",210,12,"a","e","d","c","-","acde"
"6705",210,1,"b","e","-","-","-","be"
"6706",210,29,"d","c","-","-","-","cd"
"6707",210,14,"c","a","-","-","-","ac"
"6708",210,2,"b","a","-","-","-","ab"
"6709",210,24,"a","b","e","-","-","abe"
"6710",210,31,"d","a","-","-","-","ad"
"6711",210,9,"c","d","b","-","-","bcd"
"6712",210,3,"a","e","b","-","-","abe"
"6713",210,15,"c","d","e","-","-","cde"
"6714",210,21,"a","d","-","-","-","ad"
"6715",210,16,"a","b","-","-","-","ab"
"6716",210,6,"a","b","e","d","-","abde"
"6717",210,11,"e","d","-","-","-","de"
"6718",210,5,"a","b","d","-","-","abd"
"6719",210,22,"b","c","d","-","-","bcd"
"6720",210,26,"d","c","-","-","-","cd"
"6721",211,13,"e","c","-","-","-","ce"
"6722",211,29,"b","e","-","-","-","be"
"6723",211,20,"b","d","e","-","-","bde"
"6724",211,31,"b","e","c","-","-","bce"
"6725",211,18,"b","d","-","-","-","bd"
"6726",211,12,"a","b","c","-","-","abc"
"6727",211,4,"b","e","a","-","-","abe"
"6728",211,28,"c","a","d","-","-","acd"
"6729",211,8,"a","c","b","-","-","abc"
"6730",211,16,"a","e","-","-","-","ae"
"6731",211,17,"a","b","c","e","-","abce"
"6732",211,10,"e","a","b","-","-","abe"
"6733",211,11,"d","e","c","a","-","acde"
"6734",211,14,"c","a","-","-","-","ac"
"6735",211,3,"a","c","-","-","-","ac"
"6736",211,30,"b","a","d","e","-","abde"
"6737",211,1,"c","b","-","-","-","bc"
"6738",211,19,"b","d","c","-","-","bcd"
"6739",211,23,"c","d","a","e","-","acde"
"6740",211,6,"d","c","b","-","-","bcd"
"6741",211,24,"e","a","d","-","-","ade"
"6742",211,7,"c","d","-","-","-","cd"
"6743",211,2,"d","e","-","-","-","de"
"6744",211,15,"a","c","e","-","-","ace"
"6745",211,9,"e","a","d","-","-","ade"
"6746",211,26,"c","d","-","-","-","cd"
"6747",211,25,"b","c","-","-","-","bc"
"6748",211,32,"c","a","-","-","-","ac"
"6749",211,5,"d","b","c","-","-","bcd"
"6750",211,21,"e","c","-","-","-","ce"
"6751",211,27,"b","a","e","d","-","abde"
"6752",211,22,"d","a","-","-","-","ad"
"6753",212,28,"b","c","d","-","-","bcd"
"6754",212,18,"a","e","d","b","-","abde"
"6755",212,15,"a","d","b","c","-","abcd"
"6756",212,2,"a","d","c","-","-","acd"
"6757",212,29,"d","c","a","e","-","acde"
"6758",212,9,"a","d","b","e","-","abde"
"6759",212,32,"b","e","d","-","-","bde"
"6760",212,23,"d","b","c","-","-","bcd"
"6761",212,26,"c","b","-","-","-","bc"
"6762",212,11,"a","e","b","d","-","abde"
"6763",212,17,"d","b","-","-","-","bd"
"6764",212,22,"e","a","-","-","-","ae"
"6765",212,30,"c","b","a","-","-","abc"
"6766",212,21,"d","c","-","-","-","cd"
"6767",212,5,"a","e","-","-","-","ae"
"6768",212,12,"d","a","e","-","-","ade"
"6769",212,31,"b","c","-","-","-","bc"
"6770",212,3,"e","b","d","a","-","abde"
"6771",212,20,"a","c","-","-","-","ac"
"6772",212,13,"d","e","-","-","-","de"
"6773",212,8,"a","e","c","b","d","abcde"
"6774",212,10,"c","a","d","-","-","acd"
"6775",212,14,"e","a","-","-","-","ae"
"6776",212,7,"d","e","-","-","-","de"
"6777",212,1,"c","b","d","e","-","bcde"
"6778",212,25,"b","a","c","-","-","abc"
"6779",212,4,"c","b","-","-","-","bc"
"6780",212,16,"e","b","-","-","-","be"
"6781",212,27,"e","c","b","d","-","bcde"
"6782",212,19,"b","e","-","-","-","be"
"6783",212,6,"d","e","b","-","-","bde"
"6784",212,24,"d","e","-","-","-","de"
"6785",213,22,"b","d","a","-","-","abd"
"6786",213,29,"a","e","-","-","-","ae"
"6787",213,31,"e","c","-","-","-","ce"
"6788",213,7,"a","d","c","e","-","acde"
"6789",213,17,"b","a","c","-","-","abc"
"6790",213,20,"a","e","-","-","-","ae"
"6791",213,11,"e","a","b","-","-","abe"
"6792",213,28,"a","d","b","e","-","abde"
"6793",213,32,"a","c","d","e","-","acde"
"6794",213,24,"b","a","d","-","-","abd"
"6795",213,5,"b","e","c","-","-","bce"
"6796",213,4,"e","b","-","-","-","be"
"6797",213,15,"d","b","e","-","-","bde"
"6798",213,25,"b","d","-","-","-","bd"
"6799",213,21,"d","e","-","-","-","de"
"6800",213,14,"a","d","-","-","-","ad"
"6801",213,10,"d","e","-","-","-","de"
"6802",213,26,"d","e","c","b","-","bcde"
"6803",213,1,"d","e","a","c","-","acde"
"6804",213,8,"a","b","e","d","-","abde"
"6805",213,3,"c","e","b","a","d","abcde"
"6806",213,6,"b","d","a","c","-","abcd"
"6807",213,9,"d","b","e","-","-","bde"
"6808",213,27,"e","c","-","-","-","ce"
"6809",213,2,"d","e","-","-","-","de"
"6810",213,19,"a","c","-","-","-","ac"
"6811",213,30,"e","b","-","-","-","be"
"6812",213,13,"a","d","-","-","-","ad"
"6813",213,18,"e","b","c","-","-","bce"
"6814",213,23,"c","b","-","-","-","bc"
"6815",213,16,"d","e","b","-","-","bde"
"6816",213,12,"c","e","b","-","-","bce"
"6817",214,18,"e","c","b","d","-","bcde"
"6818",214,3,"a","d","-","-","-","ad"
"6819",214,22,"c","d","b","a","e","abcde"
"6820",214,2,"e","c","d","-","-","cde"
"6821",214,27,"a","d","-","-","-","ad"
"6822",214,32,"a","c","d","-","-","acd"
"6823",214,16,"c","a","e","b","d","abcde"
"6824",214,6,"e","a","d","-","-","ade"
"6825",214,30,"a","b","d","-","-","abd"
"6826",214,20,"d","c","-","-","-","cd"
"6827",214,28,"e","b","-","-","-","be"
"6828",214,31,"a","e","d","b","-","abde"
"6829",214,17,"e","a","b","c","-","abce"
"6830",214,29,"a","b","c","e","-","abce"
"6831",214,9,"d","b","-","-","-","bd"
"6832",214,15,"b","a","-","-","-","ab"
"6833",214,4,"e","d","-","-","-","de"
"6834",214,19,"d","a","b","-","-","abd"
"6835",214,8,"d","a","b","-","-","abd"
"6836",214,23,"a","c","-","-","-","ac"
"6837",214,12,"d","b","-","-","-","bd"
"6838",214,14,"a","b","-","-","-","ab"
"6839",214,1,"a","e","-","-","-","ae"
"6840",214,13,"a","b","-","-","-","ab"
"6841",214,10,"c","b","e","-","-","bce"
"6842",214,7,"b","d","-","-","-","bd"
"6843",214,21,"b","c","-","-","-","bc"
"6844",214,26,"d","b","-","-","-","bd"
"6845",214,24,"d","e","b","-","-","bde"
"6846",214,5,"d","e","c","-","-","cde"
"6847",214,11,"d","a","-","-","-","ad"
"6848",214,25,"e","a","c","-","-","ace"
"6849",215,24,"b","c","-","-","-","bc"
"6850",215,28,"e","a","-","-","-","ae"
"6851",215,25,"e","a","-","-","-","ae"
"6852",215,27,"a","c","b","e","-","abce"
"6853",215,2,"e","b","c","-","-","bce"
"6854",215,8,"e","c","a","-","-","ace"
"6855",215,4,"d","b","-","-","-","bd"
"6856",215,10,"c","a","e","-","-","ace"
"6857",215,12,"d","a","c","-","-","acd"
"6858",215,16,"b","a","-","-","-","ab"
"6859",215,6,"b","d","-","-","-","bd"
"6860",215,17,"a","b","-","-","-","ab"
"6861",215,22,"c","a","b","-","-","abc"
"6862",215,11,"c","a","d","-","-","acd"
"6863",215,5,"e","c","b","-","-","bce"
"6864",215,32,"e","c","d","b","-","bcde"
"6865",215,26,"d","b","e","-","-","bde"
"6866",215,14,"d","e","b","c","-","bcde"
"6867",215,30,"b","d","c","-","-","bcd"
"6868",215,31,"b","e","-","-","-","be"
"6869",215,1,"d","a","-","-","-","ad"
"6870",215,20,"c","b","-","-","-","bc"
"6871",215,18,"e","d","a","b","-","abde"
"6872",215,19,"b","e","-","-","-","be"
"6873",215,23,"b","e","-","-","-","be"
"6874",215,21,"b","d","-","-","-","bd"
"6875",215,15,"e","b","d","-","-","bde"
"6876",215,3,"b","d","c","e","-","bcde"
"6877",215,13,"d","b","c","-","-","bcd"
"6878",215,29,"e","a","-","-","-","ae"
"6879",215,9,"a","d","-","-","-","ad"
"6880",215,7,"b","a","c","-","-","abc"
"6881",216,8,"c","b","-","-","-","bc"
"6882",216,24,"a","d","e","c","b","abcde"
"6883",216,23,"d","b","c","-","-","bcd"
"6884",216,13,"b","a","d","-","-","abd"
"6885",216,6,"a","b","-","-","-","ab"
"6886",216,20,"b","d","-","-","-","bd"
"6887",216,26,"e","a","-","-","-","ae"
"6888",216,9,"d","b","-","-","-","bd"
"6889",216,1,"e","d","c","-","-","cde"
"6890",216,5,"c","d","-","-","-","cd"
"6891",216,2,"c","b","a","-","-","abc"
"6892",216,22,"c","b","e","-","-","bce"
"6893",216,27,"c","e","a","d","b","abcde"
"6894",216,31,"c","b","a","-","-","abc"
"6895",216,21,"d","c","a","-","-","acd"
"6896",216,30,"c","e","d","-","-","cde"
"6897",216,16,"c","b","d","-","-","bcd"
"6898",216,29,"a","b","d","-","-","abd"
"6899",216,17,"a","e","-","-","-","ae"
"6900",216,19,"e","c","a","d","-","acde"
"6901",216,25,"a","b","-","-","-","ab"
"6902",216,11,"a","e","d","-","-","ade"
"6903",216,32,"d","c","b","e","-","bcde"
"6904",216,7,"b","e","-","-","-","be"
"6905",216,10,"b","c","e","-","-","bce"
"6906",216,4,"c","e","a","b","-","abce"
"6907",216,18,"e","b","d","a","c","abcde"
"6908",216,3,"a","d","b","-","-","abd"
"6909",216,28,"e","b","d","-","-","bde"
"6910",216,12,"d","b","e","a","-","abde"
"6911",216,14,"d","e","b","-","-","bde"
"6912",216,15,"d","c","-","-","-","cd"
"6913",217,11,"a","b","-","-","-","ab"
"6914",217,1,"b","e","-","-","-","be"
"6915",217,29,"d","c","b","-","-","bcd"
"6916",217,20,"a","d","c","b","-","abcd"
"6917",217,18,"e","a","-","-","-","ae"
"6918",217,25,"a","c","-","-","-","ac"
"6919",217,13,"b","d","a","-","-","abd"
"6920",217,6,"e","d","c","-","-","cde"
"6921",217,7,"b","a","c","-","-","abc"
"6922",217,12,"a","e","c","-","-","ace"
"6923",217,32,"e","a","-","-","-","ae"
"6924",217,28,"c","d","-","-","-","cd"
"6925",217,8,"b","e","-","-","-","be"
"6926",217,30,"b","d","e","-","-","bde"
"6927",217,31,"a","d","-","-","-","ad"
"6928",217,22,"b","c","e","-","-","bce"
"6929",217,5,"d","b","a","-","-","abd"
"6930",217,3,"b","e","d","c","-","bcde"
"6931",217,10,"e","d","c","-","-","cde"
"6932",217,23,"b","e","c","a","-","abce"
"6933",217,27,"b","a","e","c","-","abce"
"6934",217,14,"e","b","-","-","-","be"
"6935",217,16,"b","d","c","e","-","bcde"
"6936",217,15,"d","e","b","c","-","bcde"
"6937",217,26,"b","a","c","-","-","abc"
"6938",217,9,"a","d","-","-","-","ad"
"6939",217,21,"d","e","-","-","-","de"
"6940",217,4,"d","a","b","c","-","abcd"
"6941",217,2,"c","a","d","-","-","acd"
"6942",217,19,"e","a","-","-","-","ae"
"6943",217,17,"d","a","-","-","-","ad"
"6944",217,24,"c","b","e","-","-","bce"
"6945",218,21,"a","c","-","-","-","ac"
"6946",218,9,"e","d","c","-","-","cde"
"6947",218,19,"b","c","d","-","-","bcd"
"6948",218,24,"c","b","-","-","-","bc"
"6949",218,4,"c","b","-","-","-","bc"
"6950",218,5,"c","b","a","-","-","abc"
"6951",218,3,"e","a","d","-","-","ade"
"6952",218,8,"c","b","e","a","d","abcde"
"6953",218,6,"a","b","d","-","-","abd"
"6954",218,1,"c","b","a","-","-","abc"
"6955",218,13,"e","d","-","-","-","de"
"6956",218,22,"e","c","a","-","-","ace"
"6957",218,27,"d","c","-","-","-","cd"
"6958",218,12,"c","a","d","-","-","acd"
"6959",218,10,"a","c","e","-","-","ace"
"6960",218,16,"b","d","e","-","-","bde"
"6961",218,30,"d","e","-","-","-","de"
"6962",218,17,"e","c","d","-","-","cde"
"6963",218,7,"e","a","c","-","-","ace"
"6964",218,28,"a","c","-","-","-","ac"
"6965",218,18,"b","e","d","-","-","bde"
"6966",218,23,"e","b","c","d","-","bcde"
"6967",218,29,"b","a","-","-","-","ab"
"6968",218,14,"d","a","b","c","e","abcde"
"6969",218,26,"c","d","-","-","-","cd"
"6970",218,2,"e","d","a","-","-","ade"
"6971",218,15,"c","d","b","-","-","bcd"
"6972",218,31,"d","a","c","e","-","acde"
"6973",218,20,"a","b","-","-","-","ab"
"6974",218,11,"b","e","-","-","-","be"
"6975",218,25,"d","e","c","-","-","cde"
"6976",218,32,"a","b","c","-","-","abc"
"6977",219,15,"c","a","d","-","-","acd"
"6978",219,25,"b","a","c","-","-","abc"
"6979",219,7,"a","e","b","c","-","abce"
"6980",219,8,"e","d","a","-","-","ade"
"6981",219,14,"d","e","-","-","-","de"
"6982",219,27,"e","c","-","-","-","ce"
"6983",219,12,"a","d","c","-","-","acd"
"6984",219,23,"b","d","-","-","-","bd"
"6985",219,13,"d","e","a","-","-","ade"
"6986",219,22,"a","e","d","b","-","abde"
"6987",219,19,"e","b","-","-","-","be"
"6988",219,11,"a","b","-","-","-","ab"
"6989",219,10,"c","a","b","e","-","abce"
"6990",219,6,"d","e","c","-","-","cde"
"6991",219,1,"a","d","-","-","-","ad"
"6992",219,29,"e","d","-","-","-","de"
"6993",219,18,"d","e","-","-","-","de"
"6994",219,20,"a","e","b","-","-","abe"
"6995",219,9,"c","a","d","e","-","acde"
"6996",219,17,"d","e","c","-","-","cde"
"6997",219,5,"a","d","c","e","b","abcde"
"6998",219,26,"b","e","c","-","-","bce"
"6999",219,21,"d","a","e","b","-","abde"
"7000",219,16,"a","b","-","-","-","ab"
"7001",219,3,"b","d","-","-","-","bd"
"7002",219,31,"a","e","d","-","-","ade"
"7003",219,30,"b","c","-","-","-","bc"
"7004",219,4,"b","a","-","-","-","ab"
"7005",219,28,"e","a","b","-","-","abe"
"7006",219,2,"d","e","c","-","-","cde"
"7007",219,24,"a","d","c","-","-","acd"
"7008",219,32,"c","b","e","-","-","bce"
"7009",220,28,"c","e","d","-","-","cde"
"7010",220,30,"e","d","a","-","-","ade"
"7011",220,15,"c","a","e","-","-","ace"
"7012",220,24,"c","a","-","-","-","ac"
"7013",220,21,"b","c","-","-","-","bc"
"7014",220,2,"a","b","d","e","-","abde"
"7015",220,5,"d","c","a","-","-","acd"
"7016",220,7,"d","a","b","-","-","abd"
"7017",220,19,"b","d","e","-","-","bde"
"7018",220,16,"c","d","b","e","-","bcde"
"7019",220,11,"c","a","e","b","-","abce"
"7020",220,32,"c","d","b","a","-","abcd"
"7021",220,27,"b","c","e","-","-","bce"
"7022",220,22,"b","c","d","e","-","bcde"
"7023",220,3,"c","d","-","-","-","cd"
"7024",220,17,"c","a","-","-","-","ac"
"7025",220,4,"e","c","a","-","-","ace"
"7026",220,9,"c","a","b","d","-","abcd"
"7027",220,10,"d","e","-","-","-","de"
"7028",220,14,"a","c","-","-","-","ac"
"7029",220,31,"c","d","b","a","-","abcd"
"7030",220,25,"b","a","c","e","d","abcde"
"7031",220,23,"e","a","-","-","-","ae"
"7032",220,12,"b","a","-","-","-","ab"
"7033",220,26,"a","d","e","-","-","ade"
"7034",220,13,"c","d","-","-","-","cd"
"7035",220,29,"e","d","b","-","-","bde"
"7036",220,20,"b","a","e","-","-","abe"
"7037",220,1,"c","d","-","-","-","cd"
"7038",220,18,"a","b","c","e","-","abce"
"7039",220,8,"d","a","e","-","-","ade"
"7040",220,6,"c","e","b","-","-","bce"
"7041",221,5,"b","d","-","-","-","bd"
"7042",221,12,"b","e","a","-","-","abe"
"7043",221,24,"a","b","c","d","-","abcd"
"7044",221,21,"c","d","b","-","-","bcd"
"7045",221,1,"e","a","c","-","-","ace"
"7046",221,18,"e","b","d","-","-","bde"
"7047",221,13,"a","c","e","-","-","ace"
"7048",221,4,"d","e","-","-","-","de"
"7049",221,14,"c","d","e","b","-","bcde"
"7050",221,22,"e","c","a","b","-","abce"
"7051",221,16,"d","a","e","-","-","ade"
"7052",221,19,"c","b","-","-","-","bc"
"7053",221,8,"d","b","c","-","-","bcd"
"7054",221,28,"c","d","e","-","-","cde"
"7055",221,10,"a","c","-","-","-","ac"
"7056",221,23,"a","d","e","-","-","ade"
"7057",221,9,"e","b","c","-","-","bce"
"7058",221,32,"a","e","-","-","-","ae"
"7059",221,17,"e","c","a","d","-","acde"
"7060",221,27,"a","b","-","-","-","ab"
"7061",221,31,"e","d","c","b","a","abcde"
"7062",221,26,"b","c","d","a","-","abcd"
"7063",221,15,"a","b","-","-","-","ab"
"7064",221,29,"e","c","-","-","-","ce"
"7065",221,20,"a","e","b","d","-","abde"
"7066",221,3,"d","b","-","-","-","bd"
"7067",221,30,"e","b","d","-","-","bde"
"7068",221,11,"b","d","e","a","-","abde"
"7069",221,6,"e","b","a","-","-","abe"
"7070",221,2,"e","d","a","c","-","acde"
"7071",221,7,"d","a","-","-","-","ad"
"7072",221,25,"c","b","e","d","-","bcde"
"7073",222,31,"c","d","e","-","-","cde"
"7074",222,17,"b","d","e","-","-","bde"
"7075",222,23,"c","e","-","-","-","ce"
"7076",222,28,"b","e","d","c","-","bcde"
"7077",222,24,"c","d","-","-","-","cd"
"7078",222,1,"b","d","-","-","-","bd"
"7079",222,9,"e","d","b","-","-","bde"
"7080",222,5,"d","c","-","-","-","cd"
"7081",222,21,"a","c","-","-","-","ac"
"7082",222,10,"c","b","d","e","-","bcde"
"7083",222,12,"b","e","-","-","-","be"
"7084",222,13,"d","b","a","e","-","abde"
"7085",222,16,"c","a","-","-","-","ac"
"7086",222,8,"a","d","-","-","-","ad"
"7087",222,3,"e","b","a","d","-","abde"
"7088",222,22,"c","d","-","-","-","cd"
"7089",222,6,"e","a","d","-","-","ade"
"7090",222,19,"b","c","-","-","-","bc"
"7091",222,30,"c","d","b","e","a","abcde"
"7092",222,26,"d","b","e","-","-","bde"
"7093",222,4,"c","d","e","a","-","acde"
"7094",222,2,"c","b","-","-","-","bc"
"7095",222,7,"c","b","-","-","-","bc"
"7096",222,14,"a","d","-","-","-","ad"
"7097",222,18,"b","c","e","a","-","abce"
"7098",222,11,"d","c","b","-","-","bcd"
"7099",222,27,"a","c","b","-","-","abc"
"7100",222,29,"b","e","-","-","-","be"
"7101",222,20,"d","b","e","-","-","bde"
"7102",222,32,"c","e","b","d","a","abcde"
"7103",222,15,"b","a","c","-","-","abc"
"7104",222,25,"e","d","b","-","-","bde"
"7105",223,3,"a","e","-","-","-","ae"
"7106",223,20,"a","b","e","-","-","abe"
"7107",223,5,"a","b","-","-","-","ab"
"7108",223,14,"e","d","-","-","-","de"
"7109",223,16,"d","c","e","-","-","cde"
"7110",223,13,"d","b","c","-","-","bcd"
"7111",223,32,"b","c","-","-","-","bc"
"7112",223,1,"c","b","e","-","-","bce"
"7113",223,2,"c","e","a","-","-","ace"
"7114",223,22,"d","b","-","-","-","bd"
"7115",223,30,"a","c","b","-","-","abc"
"7116",223,21,"e","b","d","c","-","bcde"
"7117",223,6,"d","e","-","-","-","de"
"7118",223,4,"a","d","e","c","b","abcde"
"7119",223,11,"d","b","c","-","-","bcd"
"7120",223,27,"d","c","a","-","-","acd"
"7121",223,17,"b","c","-","-","-","bc"
"7122",223,7,"e","d","a","-","-","ade"
"7123",223,12,"b","e","d","-","-","bde"
"7124",223,26,"e","b","a","-","-","abe"
"7125",223,15,"e","a","c","-","-","ace"
"7126",223,31,"b","d","a","-","-","abd"
"7127",223,23,"d","e","a","-","-","ade"
"7128",223,28,"b","d","-","-","-","bd"
"7129",223,24,"e","c","b","a","-","abce"
"7130",223,18,"c","e","-","-","-","ce"
"7131",223,29,"c","e","d","-","-","cde"
"7132",223,19,"e","a","-","-","-","ae"
"7133",223,9,"d","e","-","-","-","de"
"7134",223,10,"b","d","c","e","-","bcde"
"7135",223,25,"c","b","e","-","-","bce"
"7136",223,8,"d","e","b","c","-","bcde"
"7137",224,14,"b","c","-","-","-","bc"
"7138",224,31,"b","c","d","a","-","abcd"
"7139",224,29,"c","b","-","-","-","bc"
"7140",224,12,"d","a","b","e","c","abcde"
"7141",224,5,"d","b","a","e","-","abde"
"7142",224,21,"b","c","d","e","-","bcde"
"7143",224,27,"d","a","b","-","-","abd"
"7144",224,19,"b","c","-","-","-","bc"
"7145",224,10,"b","d","c","a","-","abcd"
"7146",224,15,"d","e","-","-","-","de"
"7147",224,1,"a","e","d","c","-","acde"
"7148",224,4,"b","e","c","-","-","bce"
"7149",224,7,"a","e","-","-","-","ae"
"7150",224,18,"d","a","c","b","-","abcd"
"7151",224,8,"c","d","e","-","-","cde"
"7152",224,3,"c","d","e","b","-","bcde"
"7153",224,17,"c","a","-","-","-","ac"
"7154",224,9,"d","b","-","-","-","bd"
"7155",224,20,"d","e","-","-","-","de"
"7156",224,30,"a","b","c","-","-","abc"
"7157",224,13,"a","d","c","-","-","acd"
"7158",224,2,"d","e","a","-","-","ade"
"7159",224,22,"b","e","c","-","-","bce"
"7160",224,24,"e","b","c","d","-","bcde"
"7161",224,28,"e","a","-","-","-","ae"
"7162",224,16,"c","a","d","e","b","abcde"
"7163",224,6,"b","a","d","-","-","abd"
"7164",224,11,"d","a","c","-","-","acd"
"7165",224,32,"d","a","c","-","-","acd"
"7166",224,26,"e","a","-","-","-","ae"
